"","id","name","fat_value","fat_unit","sugur_value","sugur_unit","protein_value","protein_unit"
"23",45005375,"GREAT VALUE, SHREDDED COLBY & MONTEREY JACK CHEESE",32.14,"g",0,"g",25,"g"
"24",45005376,"GREAT VALUE, SHREDDED MOZZARELLA CHEESE",21.43,"g",0,"g",25,"g"
"25",45005377,"GREAT VALUE, PARMESAN BLEND SHREDDED CHEESE",28.57,"g",3.57,"g",32.14,"g"
"26",45005379,"GREAT VALUE, PARMESAN CHEESE",25,"g",0,"g",35.71,"g"
"27",45005381,"GREAT VALUE, FINELY SHREDDED CHEDDAR CHEESE, MILD",32.14,"g",0,"g",25,"g"
"28",45005384,"GREAT VALUE, FINELY SHREDDED TRIPLE CHEDDAR CHEESE",32.14,"g",0,"g",25,"g"
"29",45005385,"GREAT VALUE, SHREDDED PIZZA BLEND CHEESE",25,"g",0,"g",25,"g"
"30",45005386,"NONFAT YOGURT",0,"g",7.06,"g",2.94,"g"
"31",45005390,"NONFAT YOGURT",0,"g",6.47,"g",2.94,"g"
"32",45005392,"NONFAT YOGURT",0,"g",5.88,"g",2.94,"g"
"33",45005395,"LOWFAT YOGURT",0.88,"g",14.12,"g",2.94,"g"
"34",45005396,"LOWFAT YOGURT",0.88,"g",12.35,"g",2.94,"g"
"35",45005403,"GREEK NONFAT YOGURT",0,"g",11.76,"g",7.65,"g"
"36",45005423,"GREAT VALUE, PART SKIM RICOTTA CHEESE",7.26,"g",1.61,"g",8.06,"g"
"37",45005426,"WHOLE WHEAT THIN SPAGHETTI",2.68,"g",3.57,"g",12.5,"g"
"38",45005486,"GREAT VALUE, LEMONADE",0,"g",56,"g",0,"g"
"39",45005501,"GREAT VALUE, SNALL CURD COTTAGE CHEESE",4.39,"g",3.51,"g",11.4,"g"
"40",45005504,"GREAT VALUE, LIGHT SOUR CREAM",8.33,"g",6.67,"g",3.33,"g"
"41",45005506,"GREAT VALUE, FAT FREE SOUR CREAM",0,"g",6.67,"g",3.33,"g"
"42",45005513,"GREAT VALUE, FAT FREE CREAM CHEESE",0,"g",7.14,"g",14.29,"g"
"43",45005517,"GREAT VALUE, SOUR CREAM",16.67,"g",3.33,"g",3.33,"g"
"44",45005547,"GREAT VALUE, SWEET CREAM BUTTER SALTED",78.57,"g",0,"g",0,"g"
"45",45005556,"INSTANT OATMEAL",5.71,"g",34.29,"g",8.57,"g"
"46",45005578,"PEANUT BUTTER SPREAD",50,"g",9.38,"g",21.88,"g"
"47",45005607,"100% WHOLE GRAIN OLD FASHIONED OATS",7.5,"g",2.5,"g",12.5,"g"
"48",45005655,"NONFAT YOGURT",0,"g",7.06,"g",2.94,"g"
"49",45005656,"FETTUCCINE",1.79,"g",3.57,"g",12.5,"g"
"50",45005660,"ANGEL HAIR ENRICHED VERMICELLI PRODCUT",1.79,"g",3.57,"g",12.5,"g"
"51",45005664,"GREAT VALUE, CRESCENT ROLL",16.07,"g",7.14,"g",3.57,"g"
"52",45005675,"THIN SLICED SMOKED TURKEY BREAST",1.96,"g",1.96,"g",17.65,"g"
"53",45005677,"GREAT VALUE, THIN SLICED TURKEY BREAST, MESQUITE SMOKED",1.96,"g",1.96,"g",17.65,"g"
"54",45005686,"CONFECTIONERS POWDERED SUGAR",0,"g",96.67,"g",0,"g"
"55",45005688,"LIGHT BROWN SUGAR",0,"g",100,"g",0,"g"
"56",45005694,"SWEETENER",0,"g",100,"g",0,"g"
"57",45005698,"EXTRA LARGE EXTREME BACON PIZZA",15.83,"g",1.44,"g",17.27,"g"
"58",45005702,"GREAT VALUE, CREAMY PEANUT BUTTER",46.88,"g",9.38,"g",21.88,"g"
"59",45005705,"GREAT VALUE, APPLESAUCE, CINNAMON",0,"g",16.41,"g",0,"g"
"60",45005706,"GREAT VALUE, UNSWEETENED APPLESAUCE",0,"g",7.08,"g",0,"g"
"61",45005709,"ORIGINAL APPLESAUCE",0,"g",16.81,"g",0,"g"
"62",45005710,"APPLESAUCE",0,"g",7.08,"g",0,"g"
"63",45005713,"APPLESAUCE",0,"g",16.81,"g",0,"g"
"64",45005716,"CRANBERRY SAUCE",0,"g",30,"g",0,"g"
"65",45005718,"GELATIN DESSERT",0,"g",0,"g",40,"g"
"66",45005719,"GELATIN DESSERT",0,"g",0,"g",40,"g"
"67",45005720,"MANDARIN ORANGES IN LIGHT SYRUP",0,"g",13,"g",1,"g"
"68",45005721,"MANDARIN ORANGES IN LIGHT SYRUP",0,"g",16.39,"g",0,"g"
"69",45005722,"SUGAR FREE GELATIN DESSERT",0,"g",0,"g",80,"g"
"70",45005723,"GELATIN DESSERT",0,"g",85.71,"g",9.52,"g"
"71",45005725,"GELATIN DESSERT",0,"g",85.71,"g",4.76,"g"
"72",45005726,"GREAT VALUE, GELATIN DESSERT, STRAWBERRY & BANANA",0,"g",90.48,"g",4.76,"g"
"73",45005727,"PINEAPPLE TIDBITS",0,"g",12.3,"g",0,"g"
"74",45005728,"GREAT VALUE, GELATIN DESSERT, STRAWBERRY",0,"g",90.48,"g",4.76,"g"
"75",45005731,"GREAT VALUE, GRAHAM 9'' PIE CRUST",23.81,"g",28.57,"g",4.76,"g"
"76",45005733,"100% PUMPKIN",0.41,"g",4.1,"g",0.82,"g"
"77",45005735,"PIE FILLING OR TOPPING",0,"g",7.06,"g",0,"g"
"78",45005739,"PEAR HALVES IN HEAVY SYRUP",0,"g",14.62,"g",0,"g"
"79",45005740,"FRUIT COCKTAIL IN HEAVY SYRUP",0,"g",14.06,"g",0,"g"
"80",45005741,"NONFAT INSTANT DRY MILK",0,"g",52.17,"g",34.78,"g"
"81",45005742,"FRUIT COCKTAIL IN HEAVY SYRUP",0,"g",14.06,"g",0,"g"
"82",45005744,"ZITI ENRICHED MACARONI PRODUCT",1.79,"g",3.57,"g",12.5,"g"
"83",45005745,"SHORTENING",100,"g",0,"g",0,"g"
"84",45005746,"ELBOWS PASTA",1.79,"g",3.57,"g",12.5,"g"
"85",45005747,"GREAT VALUE, MANDARIN ORANGES",0,"g",15.04,"g",0,"g"
"86",45005749,"ENRICHED SPAGHETTI PRODUCT. LINGUINE PASTA",1.79,"g",3.57,"g",12.5,"g"
"87",45005756,"WHOLE WHEAT ROTINI, WHOLE WHEAT MACARONI PRODUCT",2.68,"g",3.57,"g",12.5,"g"
"88",45005757,"GREAT VALUE, WHOLE WHEAT SPAGHETTI",2.68,"g",3.57,"g",12.5,"g"
"89",45005759,"GREAT VALUE, DICED PEARS IN LIGHT SYRUP",0,"g",14.16,"g",0,"g"
"90",45005761,"GREAT VALUE, FINELY SHREDDED SHARP CHEDDAR CHEESE",32.14,"g",0,"g",25,"g"
"91",45005781,"THIN SPAGHETTI, ENRICHED MACARONI PRODUCT",1.79,"g",3.57,"g",12.5,"g"
"92",45005794,"GREAT VALUE, CRUNCHY PEANUT BUTTER",46.88,"g",9.38,"g",21.88,"g"
"93",45005799,"GREAT VALUE, PIE CRUST",25.93,"g",0,"g",3.7,"g"
"94",45005801,"PURE SUGAR",0,"g",100,"g",0,"g"
"95",45005803,"WHOLE NEW POTATOES",0,"g",0.63,"g",1.27,"g"
"96",45005805,"CUT GREEN BEANS",0,"g",1.67,"g",0.83,"g"
"97",45005815,"GREAT VALUE, IODIZED SALT & BLACK PEPPER",0,"g",0,"g",0,"g"
"98",45005818,"GREAT VALUE, CHICKEN SEASONING & COATING MIX",10,"g",0,"g",10,"g"
"99",45005819,"ALL VEGETABLE SHORTENING",100,"g",0,"g",0,"g"
"100",45005829,"POTTED MEAT",17.65,"g",0,"g",14.12,"g"
"101",45005831,"TURKEY GRAVY MIX",8.33,"g",16.67,"g",0,"g"
"102",45005850,"GREAT VALUE, MULTI-GRAIN FLAKES CEREAL",3.33,"g",16.67,"g",10,"g"
"103",45005926,"GREAT VALUE, AWAKE, CRUNCHY RICE & WHEAT FLAKES WITH STRAWBERRIES CEREAL, STRAWBERRY",0,"g",32.26,"g",9.68,"g"
"104",45005942,"LOWFAT YOGURT",0.88,"g",12.35,"g",2.94,"g"
"105",45005949,"YOGURT DRESSING",8.33,"g",6.67,"g",3.33,"g"
"106",45005950,"MARKETSIDE, WHITE BALSAMIC YOGURT DRESSING",11.67,"g",13.33,"g",3.33,"g"
"107",45005953,"MARKETSIDE, BALSAMIC VINAIGRETTE",36.67,"g",13.33,"g",0,"g"
"108",45005958,"MARKETSIDE, LIGHT BUTTERMILK RANCH DRESSING",15,"g",3.33,"g",3.33,"g"
"109",45005962,"GREEK NONFAT YOGURT",0,"g",12,"g",8,"g"
"110",45005967,"NONFAT YOGURT",0,"g",7.06,"g",2.94,"g"
"111",45005970,"MARKETSIDE, DRESSING, CHIPOTLE RANCH",30,"g",3.33,"g",3.33,"g"
"112",45005971,"MARKETSIDE, VINAIGRETTE, RASPBERRY",26.67,"g",13.33,"g",0,"g"
"113",45006063,"GREAT VALUE, MONTEREY JACK CHEESE",28.57,"g",0,"g",25,"g"
"114",45006064,"GREAT VALUE, TACO BLEND CHEESE",32.14,"g",0,"g",25,"g"
"115",45006068,"GREAT VALUE, FINELY SHREDDED MILK CHEDDAR CHEESE",32.14,"g",0,"g",25,"g"
"116",45006072,"PREMIUM SAUSAGE",19.64,"g",0,"g",23.21,"g"
"117",45006201,"GREAT VALUE, COTTAGE CHEESE, LARGE CURD",4.39,"g",3.51,"g",11.4,"g"
"118",45006548,"GREAT VALUE, JUMBO FLAKY BISCUITS, HONEY BUTTER",10.53,"g",7.02,"g",5.26,"g"
"119",45008737,"GREAT VALUE, SEASONING & COATING MIX",6.25,"g",12.5,"g",12.5,"g"
"120",45008920,"DEEP DISH SUPREME MINI PIZZA",11.66,"g",8.59,"g",8.59,"g"
"121",45009108,"WAL-MART STORES, SUGAR FREE LEMON PIE",13.27,"g",0,"g",2.65,"g"
"122",45009665,"BROWN RICE",3.33,"g",0,"g",8.89,"g"
"123",45018103,"GREAT VALUE, HONEY NUT SPINS, SWEETENED TOASTED OAT CEREAL",5,"g",36.67,"g",6.67,"g"
"124",45018109,"GREAT VALUE, RAISIN BRAN CEREAL",1.79,"g",32.14,"g",7.14,"g"
"125",45018166,"PRICE FIRST, ITALIAN DRESSING",22.58,"g",6.45,"g",0,"g"
"126",45020285,"GREAT VALUE, CRUNCHY HONEY OATS WITH ALMONDS CEREAL",4.84,"g",25.81,"g",6.45,"g"
"127",45020286,"GREAT VALUE, RAISIN BRAN CEREAL, EXTRA RAISIN",1.79,"g",37.5,"g",7.14,"g"
"128",45020292,"GREAT VALUE, APPLE BLASTS, SWEETENED MULTI-GRAIN CEREAL",0,"g",48.48,"g",6.06,"g"
"129",45020298,"GREAT VALUE, BRAN FLAKES CEREAL",1.72,"g",17.24,"g",10.34,"g"
"130",45020299,"GREAT VALUE, STRAWBERRY AWAKE CEREAL",0,"g",32.26,"g",9.68,"g"
"131",45020312,"SWEETENED CRUNCHY RICE & WHEAT FLAKE CEREAL WITH FRUIT & YOGURT CLUSTERS",3.12,"g",31.25,"g",6.25,"g"
"132",45020644,"AWAKE CEREAL",6.45,"g",29.03,"g",6.45,"g"
"133",45020645,"SWEETENED CORN & OAT CEREAL",1.92,"g",46.15,"g",3.85,"g"
"134",45021324,"BLACK BEANS",0.77,"g",0,"g",5.38,"g"
"135",45021334,"LIGHT RED KIDNEY BEANS",0.38,"g",1.54,"g",5.38,"g"
"136",45022279,"GREAT VALUE, SUGAR FROSTED FLAKES CEREAL",0,"g",41.94,"g",3.23,"g"
"137",45022281,"GREAT VALUE, TOASTED WHEAT CEREAL",2.13,"g",10.64,"g",8.51,"g"
"138",45022282,"GREAT VALUE, TOASTED CORN CEREAL",0,"g",10,"g",6.67,"g"
"139",45022283,"GREAT VALUE, FRUIT SPINS, SWEETENED MULTIGRAIN CEREAL, SWEETENED MULTIGRAIN",3.45,"g",37.93,"g",3.45,"g"
"140",45022284,"GREAT VALUE, FRUITY CEREAL, PUFFS",3.33,"g",46.67,"g",3.33,"g"
"141",45022285,"GREAT VALUE, CEREAL, TOASTED WHOLE-GRAIN OATS",5.36,"g",3.57,"g",10.71,"g"
"142",45022287,"GREAT VALUE, BACON, EGG & CHEESE CROISSANT SANDWICHES",17.48,"g",2.91,"g",10.68,"g"
"143",45022290,"GREAT VALUE, TOASTED RICE CEREAL",0,"g",7.41,"g",7.41,"g"
"144",45022291,"AWAKE CEREAL",5,"g",30,"g",6.67,"g"
"145",45022292,"GREAT VALUE, CRISP RICE CEREAL",0,"g",12.12,"g",6.06,"g"
"146",45022293,"GREAT VALUE, CRUNCHY RAISIN BRAN CEREAL",1.89,"g",37.74,"g",5.66,"g"
"147",45022620,"GREAT VALUE, AU GRATIN POTATOES",1.79,"g",0,"g",7.14,"g"
"148",45022922,"INSTANT PUDDING & PIE FILLING",2.08,"g",79.17,"g",0,"g"
"149",45022924,"PEACH PINEAPPLE CHIPOTLE SALSA",0,"g",10,"g",0,"g"
"150",45023288,"GREAT VALUE, DRINK MIX, LEMONADE",0,"g",0,"g",0,"g"
"151",45023289,"DELUXE CASHEWS",46.43,"g",3.57,"g",17.86,"g"
"152",45023290,"CASHEWS HALVES & PIECES",46.43,"g",3.57,"g",17.86,"g"
"153",45023294,"GREAT VALUE, DRINK MIX, STRAWBERRY WATERMELON",0,"g",66.67,"g",0,"g"
"154",45023296,"GREAT VALUE, DRINK MIX, PINK LEMONADE",0,"g",0,"g",0,"g"
"155",45023297,"GREAT VALUE, ENERGY DRINK MIX, STRAWBERRY",0,"g",0,"g",0,"g"
"156",45023407,"GREAT VALUE, HAM, HONEY",3.57,"g",0,"g",17.86,"g"
"157",45023408,"WAL-MART, COLE SLAW",11,"g",13,"g",1,"g"
"158",45023822,"GREAT VALUE, VIENNA SAUSAGE",16.67,"g",0,"g",10.42,"g"
"159",45024159,"HAZELNUT SPREAD",32.43,"g",54.05,"g",5.41,"g"
"160",45026690,"TROPICAL TRAIL MIX",13.33,"g",53.33,"g",3.33,"g"
"161",45027095,"PEANUT AND NATURAL HONEY SPREAD",44.12,"g",23.53,"g",23.53,"g"
"162",45027808,"GREAT VALUE, WAFFLES, BLUEBERRY",5,"g",8.57,"g",4.29,"g"
"163",45027817,"GREAT VALUE, SAUSAGE EGG & CHEESE BISCUIT SANDWICHES",16.42,"g",2.24,"g",8.96,"g"
"164",45027843,"GREAT VALUE, BBQ PORK RIB SANDWICHES",18.12,"g",5.62,"g",10.62,"g"
"165",45027844,"GREAT VALUE, BISCUIT SANDWICHES, BACON, EGG & CHEESE",15.79,"g",2.63,"g",9.65,"g"
"166",45028219,"GREAT VALUE, INSTANT OATMEAL, MAPLE & BROWN SUGAR",4.65,"g",30.23,"g",9.3,"g"
"167",45028653,"GREAT VALUE, CREAM OF CELERY CONDENSED SOUP",2.44,"g",0.81,"g",0.81,"g"
"168",45028872,"MARKETSIDE, FRESH GARDEN SALSA, MILD",0,"g",3.57,"g",0,"g"
"169",45028996,"TOASTED WHOLE GRAIN OAT WITH MARSHMALLOWS CEREAL",3.7,"g",37.04,"g",7.41,"g"
"170",45030767,"GREAT VALUE, RICE PASTA & SAUCE MIX",3.03,"g",6.06,"g",6.06,"g"
"171",45030860,"WHEAT CORN & BLACK BEAN SALSA",0,"g",3.23,"g",3.23,"g"
"172",45030861,"GREAT VALUE, CANTINA STYLE SALSA",0,"g",3.33,"g",0,"g"
"173",45030862,"GREEN OLIVES STUFFED WITH MINCED PIMENTO",13.33,"g",NA,NA,0,"g"
"174",45030863,"BREAD &BUTTER CHIPS PICKLES",0,"g",17.86,"g",0,"g"
"175",45030864,"SALSA",0,"g",3.23,"g",0,"g"
"176",45031246,"PEACH SLICES IN HEAVY SYRUP",0,"g",14.84,"g",0,"g"
"177",45031248,"MINI BEEF RAVIOLI",2.92,"g",2.08,"g",3.33,"g"
"178",45031250,"LITE SLICED PEACHES IN EXTRA LIGHT SYRUP",0,"g",8.87,"g",0,"g"
"179",45031251,"GREAT VALUE, MACARONI & CHEESE, ORIGINAL",1.43,"g",10,"g",12.86,"g"
"180",45031252,"DICED NEW POTATOES",0,"g",0.82,"g",0.82,"g"
"181",45031253,"SLICED PEACHES",0,"g",5.74,"g",0,"g"
"182",45031255,"THICK & CREAMY MACARONI & CHEESE",2.14,"g",11.43,"g",12.86,"g"
"183",45031256,"FRENCH STYLE GREEN BEANS",0,"g",0.83,"g",0.83,"g"
"184",45031902,"PETITE DICED TOMATOES WITH GARLIC & OLIVE OIL",0,"g",1.72,"g",0.86,"g"
"185",45031904,"DICED TOMATOES WITH GREEN CHILIES",0,"g",1.71,"g",0.85,"g"
"186",45031906,"DICED TOMATOES",0,"g",1.59,"g",0.79,"g"
"187",45031908,"INSTANT PUDDING & PIE FILLING",0,"g",79.17,"g",0,"g"
"188",45031909,"SOUR CREAM & CHIVE POTATOES",0,"g",3.7,"g",7.41,"g"
"189",45031910,"GELATIN DESSERT",0,"g",85.71,"g",4.76,"g"
"190",45031911,"GREAT VALUE, CHICKEN GRAVY MIX",8.33,"g",16.67,"g",0,"g"
"191",45031913,"GREAT VALUE, PREMIUM MACARONI & CHEESE",10.1,"g",6.06,"g",11.11,"g"
"192",45031914,"STUFFING MIX",3.57,"g",7.14,"g",10.71,"g"
"193",45031915,"THREE CHEESE POTATOES",0,"g",3.57,"g",7.14,"g"
"194",45031916,"SEEDLESS CALIFORNIA RAISINS",0,"g",60,"g",2.5,"g"
"195",45031917,"PITTED PRUNES",0,"g",37.5,"g",2.5,"g"
"196",45031919,"GREAT VALUE, DICED SKIN-ON YELLOW POTATOES",0,"g",0,"g",1.77,"g"
"197",45031920,"STUFFING MIX",3.57,"g",7.14,"g",10.71,"g"
"198",45031921,"SUGAR FREE GELATIN DESSERT",0,"g",0,"g",40,"g"
"199",45031923,"SENSATIONS CHEESE DIP",21.21,"g",9.09,"g",6.06,"g"
"200",45031925,"CHICK PEAS",5.71,"g",11.43,"g",20,"g"
"201",45031928,"WHITE CRAB MEAT",1.79,"g",0,"g",12.5,"g"
"202",45031930,"BACON FLAVORED BITS",14.29,"g",0,"g",42.86,"g"
"203",45031931,"PIZZA SAUCE",0.81,"g",3.23,"g",1.61,"g"
"204",45031933,"GELATIN DESSERT",0,"g",90.48,"g",4.76,"g"
"205",45031934,"MIXED VEGETABLE MEDLEY",0,"g",1.6,"g",1.6,"g"
"206",45032672,"PEAR HALVES IN 100% JUICE",0,"g",8.87,"g",0,"g"
"207",45032678,"FRUIT COCKTAIL IN HEAVY SYRUP",0,"g",14.06,"g",0,"g"
"208",45032680,"SWEETENED MADE WITH SUCRALOSE",0,"g",0,"g",0,"g"
"209",45032681,"MANDARIN ORANGES",0,"g",6.19,"g",0,"g"
"210",45032688,"STEVIA EXTRACT",0,"g",0,"g",0,"g"
"211",45032689,"GREAT VALUE, INSTANT PUDDING & PIE FILLING, VANILLA",0,"g",79.17,"g",0,"g"
"212",45032692,"SLICED PEACHES",0,"g",14.06,"g",0.78,"g"
"213",45032694,"STEVIA",0,"g",0,"g",0,"g"
"214",45032698,"DICED PEACHES",0,"g",15.93,"g",0,"g"
"215",45032699,"GREAT VALUE, PULLED PORK & BARBECUE SAUCE, SMOKE FLAVOR",7.14,"g",3.57,"g",16.07,"g"
"216",45032700,"GREAT VALUE, DRINK MIX, STRAWBERRY",0,"g",0,"g",0,"g"
"217",45032701,"INSTANT PUDDING & PIE FILLING",0,"g",0,"g",0,"g"
"218",45032703,"GREAT VALUE, INSTANT PUDDING & PIE FILLING, VANILLA",0,"g",79.17,"g",0,"g"
"219",45032708,"GREAT VALUE, NO CALORIE SWEETENER",0,"g",0,"g",0,"g"
"220",45032714,"GREAT VALUE, INSTANT PUDDING & PIE FILLING, FRENCH VANILLA",0,"g",70.83,"g",0,"g"
"221",45032716,"GREAT VALUE, CREAM OF CHICKEN SOUP",2.03,"g",0,"g",2.44,"g"
"222",45032719,"JELLIED SAUCE",0,"g",30,"g",0,"g"
"223",45032721,"GREAT VALUE, DRINK MIX, CHERRY",0,"g",0,"g",0,"g"
"224",45032723,"PEAR SLICES IN HEAVY SYRUP",0,"g",14.62,"g",0,"g"
"225",45033008,"GRAHAM CRACKERS",11.29,"g",25.81,"g",6.45,"g"
"226",45033009,"GREAT VALUE, DRINK MIX, RASPBERRY ICE",0,"g",0,"g",0,"g"
"227",45033010,"HOT DOG CHILI SAUCE",0,"g",0,"g",6.25,"g"
"228",45033015,"GREAT VALUE, THIN WHEAT BAKED SNACK CRACKERS",16.13,"g",16.13,"g",6.45,"g"
"229",45033016,"ANGEL HAIR PASTA, ENRICHED MACARONI PRODUCT",1.79,"g",3.57,"g",12.5,"g"
"230",45033022,"BAKING SODA",0,"g",0,"g",0,"g"
"231",45033026,"GREAT VALUE, WAFERS, VANILLA",16.67,"g",33.33,"g",3.33,"g"
"232",45033036,"JUMBO DUTCH CARAMEL WAFFLE COOKIES",20.51,"g",33.33,"g",2.56,"g"
"233",45033038,"NO CALORIE SWEETENER",0,"g",100,"g",0,"g"
"234",45033932,"SEEDLESS BLACKBERRY JAM",0,"g",50,"g",0,"g"
"235",45033934,"SEEDLESS BLACKBERRY JAM",0,"g",0,"g",0,"g"
"236",45033935,"GREAT VALUE, MACARONI & CHEESE DINNER",1.43,"g",8.57,"g",11.43,"g"
"237",45033936,"PRESERVES",0,"g",40,"g",0,"g"
"238",45033937,"PRESERVES",0,"g",40,"g",0,"g"
"239",45034205,"GREAT VALUE, FROSTED TOASTER PASTRIES, BLUEBERRY",9.62,"g",30.77,"g",3.85,"g"
"240",45034207,"FIRE ROASTED & PEELED GREEN CHILES",0,"g",0,"g",0,"g"
"241",45034213,"GREAT VALUE, CANTINA SALSA VERDE, MEDIUM",0,"g",3.33,"g",0,"g"
"242",45034226,"CALIFORNIA RAISINS",0,"g",60,"g",2.5,"g"
"243",45034228,"ALL - PURPOSE FLOUR",0,"g",0,"g",10,"g"
"244",45034229,"GREAT VALUE, FROSTED BROWN SUGAR TOASTER PASTRIES, CINNAMON",9.62,"g",32.69,"g",3.85,"g"
"245",45034234,"GREAT VALUE, TOASTER PASTRIES, FROSTED WILD BERRY",9.62,"g",30.77,"g",3.85,"g"
"246",45034402,"PIE FILLING OR TOPPING",0,"g",21.18,"g",0,"g"
"247",45034403,"GREAT VALUE, INSTANT OATMEAL, ORIGINAL",7.14,"g",0,"g",14.29,"g"
"248",45034404,"GREAT VALUE, INSTANT OATMEAL, APPLES & CINNAMON",4.29,"g",34.29,"g",8.57,"g"
"249",45034405,"WHIPPED BUTTER SALTED",77.78,"g",0,"g",0,"g"
"250",45034408,"GREAT VALUE, CREAM CHEESE SPREAD, HONEY NUT",25.81,"g",16.13,"g",6.45,"g"
"251",45034413,"GREAT VALUE, CREAM CHEESE SPREAD, MIXED BERRY",25,"g",18.75,"g",6.25,"g"
"252",45034415,"GREAT VALUE, CREAM CHEESE SPREAD",30,"g",6.67,"g",3.33,"g"
"253",45034417,"SPREADABLE BUTTER WITH CANOLA OIL",71.43,"g",0,"g",0,"g"
"254",45034418,"GREAT VALUE, LIGHT CREAM CHEESE, PLAIN",15,"g",10,"g",6.67,"g"
"255",45034420,"GREAT VALUE, CHILI NO BEANS",5.08,"g",1.27,"g",5.93,"g"
"256",45034421,"WHOLE GRAIN OATS",7.5,"g",2.5,"g",12.5,"g"
"257",45034422,"GREAT VALUE, SALTED SWEET CREAM BUTTER",78.57,"g",0,"g",0,"g"
"258",45034423,"GREAT VALUE, INSTANT OATMEAL, CINNAMON ROLL",4.65,"g",30.23,"g",9.3,"g"
"259",45034427,"GREAT VALUE, CLASSIC ALFREDO PASTA",5.65,"g",1.61,"g",1.61,"g"
"260",45034428,"GREAT VALUE, UNSALTED SWEET CREAM BUTTER",78.57,"g",0,"g",0,"g"
"261",45034429,"CLOVER HONEY",0,"g",76.19,"g",0,"g"
"262",45034431,"DICED TOMATOES",0,"g",2.48,"g",0.83,"g"
"263",45034435,"STEVIA",0,"g",0,"g",0,"g"
"264",45034436,"GREAT VALUE, LOW FAT SMALL CURD COTTAGE CHEESE, PINEAPPLE",1.76,"g",10.56,"g",8.45,"g"
"265",45034440,"GREAT VALUE, CREAM CHEESE SPREAD",30,"g",6.67,"g",3.33,"g"
"266",45034443,"GREAT VALUE, CHICKEN GRAVY",4.17,"g",1.67,"g",0,"g"
"267",45034444,"SPREADABLE BUTTER WITH CANOLA OIL",78.57,"g",0,"g",0,"g"
"268",45034689,"BAKED BEANS",0.77,"g",7.69,"g",4.62,"g"
"269",45034690,"CHILI BEANS",0.77,"g",1.54,"g",4.62,"g"
"270",45034696,"GREAT VALUE, HOT CHOPPED GREEN CHILE PEPPERS",0,"g",0,"g",0,"g"
"271",45034700,"TACO SHELLS",21.43,"g",0,"g",7.14,"g"
"272",45034993,"GREAT VALUE, SOUR CREAM",16.67,"g",6.67,"g",3.33,"g"
"273",45034994,"NONFAT YOGURT",0,"g",4.12,"g",10,"g"
"274",45035000,"GREAT VALUE, QUESO CREAM CHEESE",32.14,"g",3.57,"g",7.14,"g"
"275",45035001,"GREAT VALUE, LOW FAT COTTAGE CHEESE",0.88,"g",4.42,"g",11.5,"g"
"276",45035010,"GREAT VALUE, SINGLES WHITE AMERICAN CHEESE",23.81,"g",4.76,"g",14.29,"g"
